stop_id,stop_code,stop_name,tts_stop_name,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
5,21,Gare Saint-Roch (Pont de Sète),"gare, pont de sète",43.604115,3.878247,,,1
20,1112,Tonnelles,"TONNELLES",43.614075,3.837982,,,1
21,1113,Petit Bard,"PETIT BARD",43.614632,3.835423,,,1
22,1114,Marie Curie,"MARIE CURIE",43.614841,3.831283,,,1
23,1115,Renaudel,"RENAUDEL",43.614635,3.828098,,,1
28,1124,Gémeaux,"GéMEAUX",43.633236,3.822606,,,1
29,1125,Hauts de Massane,"HAUTS DE MASSANE",43.636143,3.82257,,,1
30,1126,Raimbaud d'Orange,"RAIMBAU D'ORANGE",43.637489,3.820786,,,1
31,1127,Comté de Toulouse,"COMTé, deTOULOUSE",43.636978,3.819287,,,1
32,1130,Place d'Italie,"PLace, D'ITALI",43.6418,3.818385,,,1
33,1131,Jacques Prévert,"JACQUES, PRéVERT",43.642353,3.814104,,,1
34,1132,Corse,"CORSE",43.640533,3.81116,,,1
35,1133,Comté de Nice,"conté, DE NICE",43.638638,3.811767,,,1
36,1134,Mas de Bellevue,"MAS, DE BELLEVUE",43.636501,3.812801,,,1
37,1135,Pierre de Coubertin,"pierre, de coubertin",43.637848,3.814816,,,1
41,1141,Pierre de Coubertin,"pierre, de coubertin",43.637753,3.814641,,,1
42,1142,Pierre Cardenal,"PIERRE, CARDEuNAL",43.638725,3.81901,,,1
43,1143,Carriéra,"CARRIERA",43.640831,3.818954,,,1
44,1202,Mas de Bellevue,"MAS, DE BELLEVUE",43.637115,3.812508,,,1
45,1203,Comté de Nice,"conté, DE NICE",43.638905,3.81118,,,1
46,1204,Corse,"CORSE",43.640991,3.811692,,,1
47,1205,Jacques Prévert,"JACQUES, PRéVERT",43.642262,3.814077,,,1
48,1206,Place d'Italie,"PLace, D'ITALI",43.641865,3.818325,,,1
49,1208,Carriéra,"CARRIERA",43.640781,3.819225,,,1
50,1209,Pierre Cardenal,"PIERRE, CARDEuNAL",43.637993,3.818794,,,1
51,1210,Comté de Toulouse,"COMTé, deTOULOUSE",43.636822,3.818862,,,1
52,1211,Raimbaud d'Orange,"RAIMBAU D'ORANGE",43.637424,3.821428,,,1
